"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created"
"Bruno Creek","14E08	","Idaho","Snow Course/Aerial Marker","Custer","7947","44.34608","-114.52703","170602010803	",,"3-06-2023, 09:13 AM MST"
"Bull Basin AM","16G10	","Idaho","Snow Course/Aerial Marker","Owyhee","5460","42.35","-116.96667","170501070501	",,"3-06-2023, 09:13 AM MST"
"Camas Creek Divide","382	","Idaho","SNOTEL","Elmore","5710","43.26548","-115.3453","170402200101	",,"3-06-2023, 09:13 AM MST"
"Camp Creek","12E03	","Idaho","Snow Course/Aerial Marker","Clark","6549","44.4431","-112.22758","170402140207	",,"3-06-2023, 09:13 AM MST"
"Chimney Creek","15F15	","Idaho","Snow Course/Aerial Marker","Camas","6401","43.43029","-115.03341","170501130603	",,"3-06-2023, 09:13 AM MST"
"Chocolate Gulch","895	","Idaho","SNOTEL","Blaine","6310","43.7685","-114.41812","170402190301	",,"3-06-2023, 09:13 AM MST"
"Cool Creek","411	","Idaho","SNOTEL","Clearwater","6280","46.76361","-115.29528","170603070702	",,"3-06-2023, 09:13 AM MST"
"Copes Camp","13E17	","Idaho","Snow Course/Aerial Marker","Lemhi","7372","44.84777","-113.80287","170602040604	",,"3-06-2023, 09:13 AM MST"
"Copper Basin","13F02	","Idaho","Snow Course/Aerial Marker","Custer","7619","43.8153","-113.91717","170402180102	",,"3-06-2023, 09:13 AM MST"
"Couch Summit","1306	","Idaho","SNOTEL","Camas","6800","43.51768","-114.8022","170501130204	",,"3-06-2023, 09:13 AM MST"
"Couch Summit #2","14F18	","Idaho","Snow Course/Aerial Marker","Camas","6785","43.51772","-114.80217","170501130204	",,"3-06-2023, 09:13 AM MST"
"Cougar Point","14D06	","Idaho","Snow Course/Aerial Marker","Lemhi","6733","45.0855","-114.05675","170602030401	",,"3-06-2023, 09:13 AM MST"
"Cozy Cove","423	","Idaho","SNOTEL","Valley","5400","44.28846","-115.65508","170501200403	",,"3-06-2023, 09:13 AM MST"
"Crab Creek","424	","Idaho","SNOTEL","Clark","6900","44.437","-111.99384","170402140108	",,"3-06-2023, 09:13 AM MST"
"Crater Meadows","425	","Idaho","SNOTEL","Clearwater","5960","46.56394","-115.28903","170603070502	",,"3-06-2023, 09:13 AM MST"
"Crooked Fork","14C11	","Idaho","Snow Course/Aerial Marker","Idaho","3610","46.51875","-114.69123","170603030301	",,"3-06-2023, 09:13 AM MST"
"Daniels Creek","12G12	","Idaho","Snow Course/Aerial Marker","Oneida","6277","42.39947","-112.34563","160102040102	",,"3-06-2023, 09:13 AM MST"
"Deadman Gulch","16F01	","Idaho","Snow Course/Aerial Marker","Boise","5246","43.91358","-116.0133","170501120103	",,"3-06-2023, 09:13 AM MST"
"Deadwood Summit","439	","Idaho","SNOTEL","Valley","6860","44.54514","-115.5638","170501200401	",,"3-06-2023, 09:13 AM MST"
"Democrat Creek","16F13	","Idaho","Snow Course/Aerial Marker","Owyhee","5718","43.08738","-116.78114","170501030601	",,"3-06-2023, 09:13 AM MST"
"Dobson Creek","16F12	","Idaho","Snow Course/Aerial Marker","Owyhee","7093","43.07924","-116.82847","170501030601	",,"3-06-2023, 09:13 AM MST"
"Dodson Pass","16E15	","Idaho","Snow Course/Aerial Marker","Gem","4318","44.33682","-116.33753","170501220302	",,"3-06-2023, 09:13 AM MST"
"Dollarhide Summit","450	","Idaho","SNOTEL","Blaine","8420","43.6025","-114.67417","170402190201	",,"3-06-2023, 09:13 AM MST"
"Dry Basin","11G14	","Idaho","Snow Course/Aerial Marker","Franklin","7880","42.26476","-111.60044","160102020402	",,"3-06-2023, 09:13 AM MST"
"Dry Fork","13F20	","Idaho","Snow Course/Aerial Marker","Butte","7220","43.58327","-113.67818","170402180605	",,"3-06-2023, 09:13 AM MST"
"East Creek","11G34	","Idaho","Snow Course/Aerial Marker","Bannock","7090","42.52585","-111.97263","170402080209	",,"3-06-2023, 09:13 AM MST"
"Elk Butte","466	","Idaho","SNOTEL","Clearwater","5690","46.83998","-116.12233","170603080701	",,"3-06-2023, 09:13 AM MST"
"Emigrant Summit","471	","Idaho","SNOTEL","Bear Lake","7390","42.36055","-111.56085","160102020206	",,"3-06-2023, 09:13 AM MST"
"Emigration Canyon","11G07	","Idaho","Snow Course/Aerial Marker","Bear Lake","6496","42.36467","-111.50605","160102010501	",,"3-06-2023, 09:13 AM MST"
"Fall Creek","11F19	","Idaho","Snow Course/Aerial Marker","Bonneville","6769","43.41252","-111.60082","170402050402	",,"3-06-2023, 09:13 AM MST"
"Fish Ck","1305	","Idaho","SNOTEL","Blaine","6330","43.55542","-113.71924","170402210401	",,"3-06-2023, 09:13 AM MST"
"Fish Lake Airstrip","15C02	","Idaho","Snow Course/Aerial Marker","Idaho","5676","46.32668","-115.06915","170603030502	",,"3-06-2023, 09:13 AM MST"
"Fourth Of July Summit","16B03	","Idaho","Snow Course/Aerial Marker","Kootenai","3140","47.61997","-116.52268","170103030102	",,"3-06-2023, 09:13 AM MST"
"Franklin Basin","484	","Idaho","SNOTEL","Franklin","8140","42.0505","-111.6012","160102020501	",,"3-06-2023, 09:13 AM MST"
"Galena","489	","Idaho","SNOTEL","Blaine","7470","43.87722","-114.6725","170402190101	",,"3-06-2023, 09:13 AM MST"
"Galena Summit","490	","Idaho","SNOTEL","Blaine","8780","43.87497","-114.71363","170402190101	",,"3-06-2023, 09:13 AM MST"
"Garfield R.S.","492	","Idaho","SNOTEL","Blaine","6560","43.6104","-113.9308","170402210301	",,"3-06-2023, 09:13 AM MST"
"Giveout","493	","Idaho","SNOTEL","Bear Lake","6930","42.4132","-111.1663","160102010401	",,"3-06-2023, 09:13 AM MST"
"Graham Guard Sta.","496	","Idaho","SNOTEL","Elmore","5690","43.9538","-115.27387","170501110303	",,"3-06-2023, 09:13 AM MST"
"Hahn Homestead","13E29	","Idaho","Snow Course/Aerial Marker","Lemhi","7445","44.36683","-113.2261","170402160101	",,"3-06-2023, 09:13 AM MST"
"Hemlock Butte","520	","Idaho","SNOTEL","Clearwater","5810","46.48111","-115.63361","170603070601	",,"3-06-2023, 09:13 AM MST"
"Hidden Lake","988	","Idaho","SNOTEL","Boundary","5040","48.8937","-116.75748","170101040502	",,"3-06-2023, 09:13 AM MST"
"Hilts Creek","524	","Idaho","SNOTEL","Custer","8000","44.01897","-113.4723","170402170401	",,"3-06-2023, 09:13 AM MST"
"Howell Canyon","534	","Idaho","SNOTEL","Cassia","7980","42.32029","-113.61587","170402090602	",,"3-06-2023, 09:13 AM MST"
"Humboldt Gulch","535	","Idaho","SNOTEL","Shoshone","4250","47.53178","-115.77643","170103020102	",,"3-06-2023, 09:13 AM MST"
"Hyndman","537	","Idaho","SNOTEL","Blaine","7620","43.71077","-114.15894","170402190402	",,"3-06-2023, 09:13 AM MST"
"Iron Mine Creek","13F10	","Idaho","Snow Course/Aerial Marker","Blaine","6300","43.55583","-113.7198","170402210401	",,"3-06-2023, 09:13 AM MST"
"Irving Creek","12E04	","Idaho","Snow Course/Aerial Marker","Clark","7251","44.46328","-112.615","170402150103	",,"3-06-2023, 09:13 AM MST"
"Island Park","546	","Idaho","SNOTEL","Fremont","6290","44.4203","-111.38512","170402020601	",,"3-06-2023, 09:13 AM MST"
"Jackson Peak","550	","Idaho","SNOTEL","Boise","7070","44.05092","-115.44322","170501200304	",,"3-06-2023, 09:13 AM MST"
"Jakes Canyon","13E28	","Idaho","Snow Course/Aerial Marker","Lemhi","9023","44.78742","-113.3491","170602040503	",,"3-06-2023, 09:13 AM MST"
"John Evans Canyon","12G22	","Idaho","Snow Course/Aerial Marker","Oneida","5784","42.21939","-112.45549","160102040105	",,"3-06-2023, 09:13 AM MST"
"Johnson Creek","11G36	","Idaho","Snow Course/Aerial Marker","Caribou","6730","42.66612","-111.43278","170402070204	",,"3-06-2023, 09:13 AM MST"
"Kellogg Peak","16B05	","Idaho","Snow Course/Aerial Marker","Shoshone","5560","47.49708","-116.12148","170103020303	",,"3-06-2023, 09:13 AM MST"
"Ketchum R S","14F21	","Idaho","Snow Course/Aerial Marker","Blaine","5890","43.68333","-114.35","170402190304	",,"3-06-2023, 09:13 AM MST"
"Kilgore","11E12	","Idaho","Snow Course/Aerial Marker","Clark","6323","44.40057","-111.89473","170402140103	",,"3-06-2023, 09:13 AM MST"
"Lake Fork","15E01	","Idaho","Snow Course/Aerial Marker","Valley","5312","44.92075","-115.95108","170501230203	",,"3-06-2023, 09:13 AM MST"
"Langford Flat Creek","14G08	","Idaho","Snow Course/Aerial Marker","Twin Falls","5916","42.12867","-114.37557","170402130503	",,"3-06-2023, 09:13 AM MST"
"Latham Springs","11E16	","Idaho","Snow Course/Aerial Marker","Fremont","7658","44.46014","-111.14566","170402020303	",,"3-06-2023, 09:13 AM MST"
"Lava Creek","11F15	","Idaho","Snow Course/Aerial Marker","Bonneville","7100","43.27527","-111.49932","170402050203	",,"3-06-2023, 09:13 AM MST"
"Little Camas Flat","15F12	","Idaho","Snow Course/Aerial Marker","Elmore","4954","43.31895","-115.39513","170501130804	",,"3-06-2023, 09:13 AM MST"
"Logger Springs","13G03	","Idaho","Snow Course/Aerial Marker","Cassia","8091","42.14546","-113.73157","170402100203	",,"3-06-2023, 09:13 AM MST"
"Lolo Pass","588	","Idaho","SNOTEL","Idaho","5240","46.63448","-114.58072","170102051401	",,"3-06-2023, 09:13 AM MST"
"Long Valley","1016	","Idaho","SNOTEL","Valley","4890","44.78835","-116.08878","170501230206	",,"3-06-2023, 09:13 AM MST"
"Lookout","594	","Idaho","SNOTEL","Shoshone","5190","47.45749","-115.70457","170103020101	",,"3-06-2023, 09:13 AM MST"
"Lost Lake","600	","Idaho","SNOTEL","Shoshone","6110","47.0809","-115.9604","170603080101	",,"3-06-2023, 09:13 AM MST"
"Lost-Wood Divide","601	","Idaho","SNOTEL","Blaine","7900","43.82432","-114.26402","170402190304	",,"3-06-2023, 09:13 AM MST"
"Lower Pebble","12G06	","Idaho","Snow Course/Aerial Marker","Caribou","5948","42.73767","-112.0615","170402080206	",,"3-06-2023, 09:13 AM MST"
"Lower Sands Creek #2","16B13	","Idaho","Snow Course/Aerial Marker","Kootenai","3179","47.72625","-116.49128","170103010602	",,"3-06-2023, 09:13 AM MST"
"Lucky Dog","11E14	","Idaho","Snow Course/Aerial Marker","Fremont","6903","44.47445","-111.2151","170402020303	",,"3-06-2023, 09:13 AM MST"
"Magic Mountain","610	","Idaho","SNOTEL","Twin Falls","6880","42.18072","-114.28662","170402120601	",,"3-06-2023, 09:13 AM MST"
"McCall U Of I Campus","16E20	","Idaho","Snow Course/Aerial Marker","Valley","5020","44.93333","-116.08333","170501230106	",,"3-06-2023, 09:13 AM MST"
"McRenolds Reservoir","11F12	","Idaho","Snow Course/Aerial Marker","Teton","6736","43.96422","-111.05845","170402040304	",,"3-06-2023, 09:13 AM MST"
"Meadow Lake","620	","Idaho","SNOTEL","Lemhi","9150","44.43655","-113.31815","170602040101	",,"3-06-2023, 09:13 AM MST"
"Mesa Ditch","16E19	","Idaho","Snow Course/Aerial Marker","Adams","3366","44.64487","-116.3697","170501240403	",,"3-06-2023, 09:13 AM MST"
"Mica Creek","623	","Idaho","SNOTEL","Shoshone","4510","47.15045","-116.26643","170103040604	",,"3-06-2023, 09:13 AM MST"
"Mill Creek Summit","627	","Idaho","SNOTEL","Custer","8800","44.47212","-114.48992","170602010501	",,"3-06-2023, 09:13 AM MST"
"Moonshine","636	","Idaho","SNOTEL","Lemhi","7440","44.4147","-113.39812","170402170201	",,"3-06-2023, 09:13 AM MST"
"Moose Creek","638	","Idaho","SNOTEL","Lemhi","6200","45.67008","-113.95315","170602030601	",,"3-06-2023, 09:13 AM MST"
"Mores Creek Summit","15F01	","Idaho","Snow Course/Aerial Marker","Boise","6086","43.93206","-115.66515","170501110503	",,"3-06-2023, 09:13 AM MST"
"Mores Creek Summit","637	","Idaho","SNOTEL","Boise","6100","43.932","-115.66588","170501110503	",,"3-06-2023, 09:13 AM MST"
"Morgan Creek","639	","Idaho","SNOTEL","Lemhi","7600","44.84237","-114.26871","170602030901	",,"3-06-2023, 09:13 AM MST"
"Morse Creek Sawmill","13E26	","Idaho","Snow Course/Aerial Marker","Lemhi","7120","44.65195","-113.75362","170602020307	",,"3-06-2023, 09:13 AM MST"
"Moscow Mountain","989	","Idaho","SNOTEL","Latah","4700","46.805","-116.8535","170603061002	",,"3-06-2023, 09:13 AM MST"
"Mosquito Ridge","645	","Idaho","SNOTEL","Shoshone","5260","48.05726","-116.23055","170103010101	",,"3-06-2023, 09:13 AM MST"
"Mount Baldy","14F09	","Idaho","Snow Course/Aerial Marker","Blaine","8816","43.66223","-114.40523","170402190204	",,"3-06-2023, 09:13 AM MST"
"Mountain Meadows","650	","Idaho","SNOTEL","Idaho","6320","45.69694","-115.22972","170603020301	",,"3-06-2023, 09:13 AM MST"
"Mud Creek","11F14	","Idaho","Snow Course/Aerial Marker","Bingham","6989","43.27777","-111.88475","170402050305	",,"3-06-2023, 09:13 AM MST"
"Mud Flat","654	","Idaho","SNOTEL","Owyhee","5730","42.6004","-116.55925","170501041401	",,"3-06-2023, 09:13 AM MST"
"Mud Spring","14F20	","Idaho","Snow Course/Aerial Marker","Camas","5656","43.21453","-114.66858","170402190801	",,"3-06-2023, 09:13 AM MST"
"Muldoon","13F05	","Idaho","Snow Course/Aerial Marker","Blaine","6355","43.57033","-113.91257","170402210301	",,"3-06-2023, 09:13 AM MST"
"Myrtle Creek","1053	","Idaho","SNOTEL","Boundary","3520","48.72263","-116.46312","170101040701	",,"3-06-2023, 09:13 AM MST"
"North Crane Creek","16E17	","Idaho","Snow Course/Aerial Marker","Washington","3481","44.32117","-116.40803","170501240901	",,"3-06-2023, 09:13 AM MST"
"Oxford Spring","677	","Idaho","SNOTEL","Oneida","6740","42.26015","-112.12515","160102040206	",,"3-06-2023, 09:13 AM MST"
"Packsaddle Spring","11F18	","Idaho","Snow Course/Aerial Marker","Teton","8193","43.72402","-111.35696","170402040404	",,"3-06-2023, 09:13 AM MST"
"Pebble Creek","1299	","Idaho","SNOTEL","Caribou","6513","42.7674","-112.10648","170402080206	",,"3-06-2023, 09:13 AM MST"
"Pebble Creek","12G02	","Idaho","Snow Course/Aerial Marker","Caribou","6513","42.7674","-112.10648","170402080206	",,"3-06-2023, 09:13 AM MST"
"Perreau Meadows","14D05	","Idaho","Snow Course/Aerial Marker","Lemhi","8590","45.1342","-114.06688","170602030403	",,"3-06-2023, 09:13 AM MST"
"Pierce R.S.","1142	","Idaho","SNOTEL","Clearwater","3080","46.49597","-115.7957","170603060401	",,"3-06-2023, 09:13 AM MST"
"Pine Creek Pass","695	","Idaho","SNOTEL","Teton","6720","43.56998","-111.21157","170402040101	",,"3-06-2023, 09:13 AM MST"
"Placer Creek","16E02	","Idaho","Snow Course/Aerial Marker","Washington","5794","44.815","-116.69278","170501240302	",,"3-06-2023, 09:13 AM MST"
"Prairie","704	","Idaho","SNOTEL","Elmore","4800","43.50513","-115.573","170501131103	",,"3-06-2023, 09:13 AM MST"
"Ragged Mountain","1081	","Idaho","SNOTEL","Kootenai","4210","47.85583","-117.03667","170103050302	",,"3-06-2023, 09:13 AM MST"
"Rattlesnake Spring","15F19	","Idaho","Snow Course/Aerial Marker","Elmore","3973","43.20715","-115.55343","170501011101	",,"3-06-2023, 09:13 AM MST"
"Red Canyon AM","16G11	","Idaho","Snow Course/Aerial Marker","Owyhee","6600","42.42817","-116.84653","170501041704	",,"3-06-2023, 09:13 AM MST"
"Reynolds Creek","2029	","Idaho","SNOTEL","Owyhee","5600","43.28863","-116.8431","170501030604	",,"3-06-2023, 09:13 AM MST"
"Reynolds Mountain","16F08	","Idaho","Snow Course/Aerial Marker","Owyhee","6745","43.06722","-116.75483","170501030601	",,"3-06-2023, 09:13 AM MST"
"Reynolds West Fork #1","16F10	","Idaho","Snow Course/Aerial Marker","Owyhee","6971","43.07103","-116.80828","170501030601	",,"3-06-2023, 09:13 AM MST"
"Reynolds West Fork #2","16F09	","Idaho","Snow Course/Aerial Marker","Owyhee","6801","43.06421","-116.79548","170501030601	",,"3-06-2023, 09:13 AM MST"
"Reynolds-Dobson Divide","16F11	","Idaho","Snow Course/Aerial Marker","Owyhee","7043","43.07845","-116.81618","170501030601	",,"3-06-2023, 09:13 AM MST"
"Roland Summit","15B05	","Idaho","Snow Course/Aerial Marker","Shoshone","5353","47.39283","-115.6518","170103040201	",,"3-06-2023, 09:13 AM MST"
"Sandpoint Exp Stn","16A11	","Idaho","Snow Course/Aerial Marker","Bonner","2090","48.2922","-116.5533","170102140205	",,"3-06-2023, 09:13 AM MST"
"Savage Pass","735	","Idaho","SNOTEL","Idaho","6190","46.46633","-114.63333","170603030208	",,"3-06-2023, 09:13 AM MST"
"Schwartz Lake","915	","Idaho","SNOTEL","Lemhi","8630","44.84618","-113.83732","170602040604	",,"3-06-2023, 09:13 AM MST"
"Schweitzer Basin","738	","Idaho","SNOTEL","Bonner","6090","48.37428","-116.63917","170102150502	",,"3-06-2023, 09:13 AM MST"
"Secesh Summit","740	","Idaho","SNOTEL","Valley","6540","45.18848","-115.97152","170501230101	",,"3-06-2023, 09:13 AM MST"
"Sedgwick Peak","741	","Idaho","SNOTEL","Bannock","7850","42.52497","-111.95635","170402080209	",,"3-06-2023, 09:13 AM MST"
"Shanghi Summit","747	","Idaho","SNOTEL","Clearwater","4600","46.56603","-115.74216","170603060402	",,"3-06-2023, 09:13 AM MST"
"Sheep Mtn.","749	","Idaho","SNOTEL","Bingham","6650","43.2103","-111.68792","170402050304	",,"3-06-2023, 09:13 AM MST"
"Sherwin","752	","Idaho","SNOTEL","Latah","3200","46.95028","-116.33972","170103040703	",,"3-06-2023, 09:13 AM MST"
"Shirts Creek","16E16	","Idaho","Snow Course/Aerial Marker","Washington","3317","44.41905","-116.43715","170501240903	",,"3-06-2023, 09:13 AM MST"
"Skitwish Ridge","16B11	","Idaho","Snow Course/Aerial Marker","Kootenai","4840","47.70828","-116.50358","170103010603	",,"3-06-2023, 09:13 AM MST"
"Slug Creek Divide","761	","Idaho","SNOTEL","Caribou","7225","42.56248","-111.29797","170402070201	",,"3-06-2023, 09:13 AM MST"
"Smiley Mountain","926	","Idaho","SNOTEL","Custer","9520","43.72718","-113.83402","170402180102	",,"3-06-2023, 09:13 AM MST"
"Soldier R.S.","769	","Idaho","SNOTEL","Camas","5740","43.48407","-114.82692","170402200303	",,"3-06-2023, 09:13 AM MST"
"Somsen Ranch","770	","Idaho","SNOTEL","Caribou","6800","42.95275","-111.35933","170402070101	",,"3-06-2023, 09:13 AM MST"
"South Mtn.","774	","Idaho","SNOTEL","Owyhee","6500","42.76478","-116.90037","170501080205	",,"3-06-2023, 09:13 AM MST"
"Spring Mountain Canyon","13E30	","Idaho","Snow Course/Aerial Marker","Lemhi","8777","44.35063","-113.26703","170402160101	",,"3-06-2023, 09:13 AM MST"
"Squaw Flat","782	","Idaho","SNOTEL","Adams","6240","44.77091","-116.24805","170501240401	",,"3-06-2023, 09:13 AM MST"
"Squaw Meadow","15D02	","Idaho","Snow Course/Aerial Marker","Valley","5900","45.15","-116","170501230101	",,"3-06-2023, 09:13 AM MST"
"State Line","11F01	","Idaho","Snow Course/Aerial Marker","Teton","6660","43.54248","-111.04602","170402040103	",,"3-06-2023, 09:13 AM MST"
"Stickney Mill","792	","Idaho","SNOTEL","Custer","7430","43.86117","-114.20902","170402180303	",,"3-06-2023, 09:13 AM MST"
"Strawberry Creek","11G09	","Idaho","Snow Course/Aerial Marker","Franklin","5830","42.31023","-111.66895","160102020401	",,"3-06-2023, 09:13 AM MST"
"Sublett","12G08	","Idaho","Snow Course/Aerial Marker","Power","5942","42.38005","-112.96432","170402100701	",,"3-06-2023, 09:13 AM MST"
"Succor Creek AM","16F06	","Idaho","Snow Course/Aerial Marker","Owyhee","6310","43.11658","-116.87715","170501080601	",,"3-06-2023, 09:13 AM MST"
"Sunset","803	","Idaho","SNOTEL","Shoshone","5540","47.55545","-115.82422","170103020102	",,"3-06-2023, 09:13 AM MST"
"Swede Peak","805	","Idaho","SNOTEL","Blaine","7640","43.626","-113.96887","170402210301	",,"3-06-2023, 09:13 AM MST"
"Telfer Ranch","13F06	","Idaho","Snow Course/Aerial Marker","Blaine","5820","43.52368","-113.77327","170402210401	",,"3-06-2023, 09:13 AM MST"
"Thorson Cabin #2","17E06	","Idaho","Snow Course/Aerial Marker","Washington","5125","44.56427","-117.00693","170501241001	",,"3-06-2023, 09:13 AM MST"
"Tollgate","15F20	","Idaho","Snow Course/Aerial Marker","Elmore","4541","43.265","-115.59167","170501011001	",,"3-06-2023, 09:13 AM MST"
"Trinity Mtn.","830	","Idaho","SNOTEL","Elmore","7770","43.62903","-115.43818","170501110703	",,"3-06-2023, 09:13 AM MST"
"Tripod Summit","16E03	","Idaho","Snow Course/Aerial Marker","Valley","5207","44.28888","-116.12928","170501230603	",,"3-06-2023, 09:13 AM MST"
"Twin Spirit Divide","16B12	","Idaho","Snow Course/Aerial Marker","Kootenai","3514","47.9063","-116.9963","170102140503	",,"3-06-2023, 09:13 AM MST"
"Upper Elkhorn","12G10	","Idaho","Snow Course/Aerial Marker","Bannock","7130","42.34618","-112.31092","170402080304	",,"3-06-2023, 09:13 AM MST"
"Upper Home Canyon","11G26	","Idaho","Snow Course/Aerial Marker","Bear Lake","8583","42.41903","-111.23443","160102010402	",,"3-06-2023, 09:13 AM MST"
"Valley View","11E08	","Idaho","Snow Course/Aerial Marker","Fremont","6798","44.64602","-111.31183","170402020103	",,"3-06-2023, 09:13 AM MST"
"Van Wyck","979	","Idaho","SNOTEL","Washington","4920","44.37665","-116.3366","170501240902	",,"3-06-2023, 09:13 AM MST"
"Vaught Ranch AM","16G12	","Idaho","Snow Course/Aerial Marker","Owyhee","5850","42.49475","-116.43665","170501040904	",,"3-06-2023, 09:13 AM MST"
"Vienna Mine","845	","Idaho","SNOTEL","Blaine","8960","43.79942","-114.85273","170602010201	",,"3-06-2023, 09:13 AM MST"
"Webb Creek #2","16C21	","Idaho","Snow Course/Aerial Marker","Nez Perce","4720","46.15788","-116.76998","170603061204	",,"3-06-2023, 09:13 AM MST"
"Webber Creek","12E05	","Idaho","Snow Course/Aerial Marker","Clark","6884","44.35752","-112.6648","170402150104	",,"3-06-2023, 09:13 AM MST"
"West Branch","855	","Idaho","SNOTEL","Adams","5560","45.0722","-116.45413","170501240201	",,"3-06-2023, 09:13 AM MST"
"White Elephant","860	","Idaho","SNOTEL","Fremont","7710","44.53267","-111.41085","170402020305	",,"3-06-2023, 09:13 AM MST"
"Wildhorse Divide","867	","Idaho","SNOTEL","Bannock","6490","42.75743","-112.47783","170402080504	",,"3-06-2023, 09:13 AM MST"
"Willow Flat","11G04	","Idaho","Snow Course/Aerial Marker","Franklin","6080","42.14013","-111.62592","160102020501	",,"3-06-2023, 09:13 AM MST"
"Wilson Creek","871	","Idaho","SNOTEL","Twin Falls","7120","42.01257","-115.00278","170402130202	",,"3-06-2023, 09:13 AM MST"
"Worm Creek","11G28	","Idaho","Snow Course/Aerial Marker","Franklin","6615","42.18295","-111.67747","160102020503	",,"3-06-2023, 09:13 AM MST"
